Account Name,Account Type,Industry,Website,Phone,Annual Revenue,Employees,Account Owner Email,Parent Account,Description
Fabrikam Residences,Prospect,real_estate,https://www.fabrikamresidences.example.com,+1-555-0135,3600000,1870,,,Imported from the accounts template. Fabrikam Residences is a prospect account.
Nordwind Capital,Customer,finance,https://www.nordwindcapital.example.com,+1-555-0136,7300000,1923,,,Imported from the accounts template. Nordwind Capital is a customer account.
Tailwind Traders,Partner,E-commerce,https://www.tailwindtraders.example.com,+1-555-0137,2000000,1976,,,Imported from the accounts template. Tailwind Traders is a partner account.
Bellows Robotics,Client,manufacturing,https://www.bellowsrobotics.example.com,+1-555-0138,5700000,2029,,,Imported from the accounts template. Bellows Robotics is a client account.
Cronus Pharma,Reseller,Pharmaceuticals,https://www.cronuspharma.example.com,+1-555-0139,400000,2082,,,Imported from the accounts template. Cronus Pharma is a reseller account.
Halo Public Works,Prospect,Public Sector,https://www.halopublicworks.example.com,+1-555-0140,4100000,2135,,,Imported from the accounts template. Halo Public Works is a prospect account.
Helping Hands Foundation,Customer,Non-Profit,https://www.helpinghandsfoundation.example.com,+1-555-0141,7800000,2188,,,Imported from the accounts template. Helping Hands Foundation is a customer account.
Iride Motors,Partner,manufacturing,https://www.iridemotors.example.com,+1-555-0142,2500000,2241,,,Imported from the accounts template. Iride Motors is a partner account.
Kiana Freight,Client,logistics,https://www.kianafreight.example.com,+1-555-0143,6200000,2294,,,Imported from the accounts template. Kiana Freight is a client account.
Lakeview Medical,Reseller,healthcare,https://www.lakeviewmedical.example.com,+1-555-0144,900000,2347,,,Imported from the accounts template. Lakeview Medical is a reseller account.
Meridian Legal,Prospect,other,https://www.meridianlegal.example.com,+1-555-0145,4600000,2400,,,Imported from the accounts template. Meridian Legal is a prospect account.
Orion Semiconductor,Customer,technology,https://www.orionsemiconductor.example.com,+1-555-0146,8300000,2453,,,Imported from the accounts template. Orion Semiconductor is a customer account.
Pinewood Estates,Partner,real_estate,https://www.pinewoodestates.example.com,+1-555-0147,3000000,2506,,,Imported from the accounts template. Pinewood Estates is a partner account.
Quill Stationery,Client,retail,https://www.quillstationery.example.com,+1-555-0148,6700000,2559,,,Imported from the accounts template. Quill Stationery is a client account.
Redwood Renewables,Reseller,energy,https://www.redwoodrenewables.example.com,+1-555-0149,1400000,2612,,,Imported from the accounts template. Redwood Renewables is a reseller account.
